# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.062 us    |                  vma_compute_subtree_gap();
 0)   0.561 us    |                }
 0)   2.472 us    |              }
 0)   0.059 us    |              __vma_link_file();
 0)   3.532 us    |            }
 0)   0.068 us    |            vm_stat_account();
 0) + 22.714 us   |          }
 0) + 24.257 us   |        }
 0)   0.050 us    |        up_write();
 0) + 26.116 us   |      }
 0) + 26.424 us   |    }
 0) + 26.709 us   |  }
 0)               |  __do_page_fault() {
 0)   0.051 us    |    down_read_trylock();
 0)   0.055 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.065 us    |      vmacache_find();
 0)   0.053 us    |      vmacache_update();
 0)   0.673 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.057 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.052 us    |                __inc_zone_state();
 0)   0.360 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.089 us    |                lookup_page_cgroup();
 0)   0.380 us    |              }
 0)   1.273 us    |            }
 0)   1.861 us    |          }
 0)               |          unlock_page() {
 0)   0.052 us    |            page_waitqueue();
 0)   0.164 us    |            __wake_up_bit();
 0)   0.740 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.337 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.343 us    |              }
 0)   1.213 us    |            }
 0)   1.806 us    |          }
 0)               |          unlock_page() {
 0)   0.051 us    |            page_waitqueue();
 0)   0.167 us    |            __wake_up_bit();
 0)   0.744 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.363 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.340 us    |              }
 0)   1.240 us    |            }
 0)   1.828 us    |          }
 0)               |          unlock_page() {
 0)   0.057 us    |            page_waitqueue();
 0)   0.155 us    |            __wake_up_bit();
 0)   0.735 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.055 us    |                __inc_zone_state();
 0)   0.338 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.052 us    |                lookup_page_cgroup();
 0)   0.663 us    |              }
 0)   1.537 us    |            }
 0)   2.133 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.160 us    |            __wake_up_bit();
 0)   0.739 us    |          }
 0)               |          do_set_pte() {
 0)   0.050 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.115 us    |                __inc_zone_state();
 0)   0.403 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.053 us    |                lookup_page_cgroup();
 0)   0.351 us    |              }
 0)   1.343 us    |            }
 0)   1.952 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.176 us    |            __wake_up_bit();
 0)   0.750 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.055 us    |            __wake_up_bit();
 0)   0.654 us    |          }
 0)   0.052 us    |          put_page();
 0) + 17.983 us   |        }
 0) + 18.587 us   |      }
 0) + 18.937 us   |    }
 0)   0.051 us    |    up_read();
 0) + 21.066 us   |  }
 0)               |  __do_page_fault() {
 0)   0.052 us    |    down_read_trylock();
 0)   0.054 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.106 us    |      vmacache_find();
 0)   0.400 us    |    }
 0)               |    handle_mm_fault() {
 0)   0.054 us    |      _raw_spin_lock();
 0)               |      do_wp_page() {
 0)   0.066 us    |        vm_normal_page();
 0)               |        anon_vma_prepare() {
 0)   0.054 us    |          _cond_resched();
 0)   0.351 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.063 us    |          get_vma_policy();
 0)   0.054 us    |          policy_nodemask();
 0)   0.057 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.052 us    |            _cond_resched();
 0)   0.053 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.053 us    |              next_zones_zonelist();
 0)   0.051 us    |              next_zones_zonelist();
 0)   0.054 us    |              __zone_watermark_ok();
 0)   0.052 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.049 us    |                __inc_zone_state();
 0)   0.632 us    |              }
 0)   2.211 us    |            }
 0)   3.106 us    |          }
 0)   4.294 us    |        }
 0)   0.052 us    |        mem_cgroup_charge_anon();
 0)   0.052 us    |        _raw_spin_lock();
 0)   0.053 us    |        add_mm_counter_fast();
 0)   0.053 us    |        add_mm_counter_fast();
 0)               |        ptep_clear_flush() {
 0)   0.477 us    |          flush_tlb_page();
 0)   1.040 us    |        }
 0)               |        page_add_new_anon_rmap() {
 0)   0.052 us    |          __mod_zone_page_state();
 0)               |          lru_cache_add() {
 0)   0.123 us    |            __lru_cache_add();
 0)   0.405 us    |          }
 0)   1.108 us    |        }
 0)               |        page_remove_rmap() {
 0)   0.052 us    |          PageHuge();
 0)               |          __dec_zone_page_state() {
 0)   0.133 us    |            __dec_zone_state();
 0)   0.437 us    |          }
 0)               |          mem_cgroup_update_page_stat() {
 0)   0.055 us    |            lookup_page_cgroup();
 0)   0.346 us    |          }
 0)   1.681 us    |        }
 0)   0.053 us    |        put_page();
 0)   0.054 us    |        put_page();
 0) + 13.455 us   |      }
 0) + 14.101 us   |    }
 0)   0.053 us    |    up_read();
 0) + 15.945 us   |  }
 0)               |  SyS_close() {
 0)               |    __close_fd() {
 0)   0.083 us    |      _raw_spin_lock();
 0)               |      filp_close() {
 0)   0.058 us    |        dnotify_flush();
 0)   0.050 us    |        locks_remove_posix();
 0)   0.051 us    |        fput();
 0)   1.024 us    |      }
 0)   1.727 us    |    }
 0)   2.043 us    |  }
 0)               |  __do_page_fault() {
 0)   0.050 us    |    down_read_trylock();
 0)   0.051 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.074 us    |      vmacache_find();
 0)   0.052 us    |      vmacache_update();
 0)   0.836 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      __pte_alloc() {
 0)               |        pte_alloc_one() {
 0)               |          alloc_pages_current() {
 0)   0.049 us    |            policy_nodemask();
 0)   0.053 us    |            policy_zonelist();
 0)               |            __alloc_pages_nodemask() {
 0)   0.054 us    |              _cond_resched();
 0)   0.052 us    |              next_zones_zonelist();
 0)               |              get_page_from_freelist() {
 0)   0.053 us    |                next_zones_zonelist();
 0)   0.052 us    |                next_zones_zonelist();
 0)   0.054 us    |                __zone_watermark_ok();
 0)   0.054 us    |                __mod_zone_page_state();
 0)               |                zone_statistics() {
 0)   0.053 us    |                  __inc_zone_state();
 0)   0.054 us    |                  __inc_zone_state();
 0)   0.641 us    |                }
 0)   2.787 us    |              }
 0)   3.695 us    |            }
 0)   4.609 us    |          }
 0)   0.057 us    |          inc_zone_page_state();
 0)   5.246 us    |        }
 0)   0.057 us    |        _raw_spin_lock();
 0)   5.894 us    |      }
 0)               |      do_read_fault.isra.54() {
 0)   0.054 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.362 us    |              }
 0)               |              mem_cgroup_update_page_stat() {
 0)   0.079 us    |                lookup_page_cgroup();
 0)   0.369 us    |              }
 0)   1.545 us    |            }
 0)   2.632 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.166 us    |            __wake_up_bit();
 0)   0.743 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)               |            page_add_file_rmap() {
 0)               |              __inc_zone_page_state() {
