# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.072 us    |            kmem_cache_alloc();
  0)               |            ext4_file_mmap [ext4]() {
  0)   0.060 us    |              touch_atime();
  0)   0.378 us    |            }
  0)               |            vma_link() {
  0)   0.120 us    |              down_write();
  0)   0.054 us    |              __vma_link_list();
  0)               |              __vma_link_rb() {
  0)   0.052 us    |                vma_compute_subtree_gap();
  0)   0.065 us    |                vma_compute_subtree_gap();
  0)   0.051 us    |                vma_compute_subtree_gap();
  0)   0.065 us    |                vma_compute_subtree_gap();
  0)   0.075 us    |                vma_compute_subtree_gap();
  0)               |                vma_gap_callbacks_rotate() {
  0)   0.090 us    |                  vma_compute_subtree_gap();
  0)   0.403 us    |                }
  0)               |                vma_gap_callbacks_rotate() {
  0)   0.054 us    |                  vma_compute_subtree_gap();
  0)   0.411 us    |                }
  0)   3.595 us    |              }
  0)               |              __vma_link_file() {
  0)   0.076 us    |                vma_interval_tree_insert();
  0)   0.420 us    |              }
  0)   0.053 us    |              up_write();
  0)   5.787 us    |            }
  0)   0.106 us    |            vm_stat_account();
  0)   0.069 us    |            uprobe_mmap();
  0)               |            vma_set_page_prot() {
  0)   0.053 us    |              vma_wants_writenotify();
