# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |      split_vma() {
 0)               |        __split_vma.isra.34() {
 0)               |          kmem_cache_alloc() {
 0)   0.052 us    |            _cond_resched();
 0)   0.419 us    |          }
 0)   0.052 us    |          vma_dup_policy();
 0)               |          anon_vma_clone() {
 0)   0.140 us    |            kmem_cache_alloc();
 0)               |            down_write() {
 0)   0.053 us    |              _cond_resched();
 0)   0.345 us    |            }
 0)   0.098 us    |            anon_vma_interval_tree_insert();
 0)   0.052 us    |            up_write();
 0)   1.817 us    |          }
 0)   0.060 us    |          vma_do_get_file();
 0)               |          vma_adjust() {
 0)   0.055 us    |            uprobe_munmap();
 0)               |            mutex_lock() {
 0)   0.054 us    |              _cond_resched();
 0)   0.355 us    |            }
 0)               |            __vma_link_file() {
 0)   0.453 us    |              vma_interval_tree_insert();
 0)   0.738 us    |            }
 0)               |            down_write() {
 0)   0.052 us    |              _cond_resched();
 0)   0.472 us    |            }
 0)   0.097 us    |            anon_vma_interval_tree_remove();
 0)   0.438 us    |            vma_interval_tree_remove();
 0)   0.078 us    |            vma_interval_tree_insert();
 0)   0.054 us    |            __vma_link_list();
 0)               |            __vma_link_rb() {
 0)   0.073 us    |              vma_compute_subtree_gap();
 0)   0.058 us    |              vma_compute_subtree_gap();
 0)               |              vma_gap_callbacks_rotate() {
 0)   0.085 us    |                vma_compute_subtree_gap();
 0)   0.375 us    |              }
 0)   1.373 us    |            }
 0)   0.054 us    |            anon_vma_interval_tree_insert();
 0)   0.052 us    |            up_write();
 0)   0.057 us    |            mutex_unlock();
 0)   0.054 us    |            uprobe_mmap();
 0)   0.053 us    |            uprobe_mmap();
 0)   7.772 us    |          }
 0) + 11.550 us   |        }
 0) + 11.863 us   |      }
 0)   0.085 us    |      vm_get_page_prot();
 0)   0.054 us    |      vma_wants_writenotify();
 0)               |      change_protection() {
 0)   0.058 us    |        _raw_spin_lock();
 0)   0.726 us    |        flush_tlb_mm_range();
 0)   1.915 us    |      }
 0)   0.069 us    |      vm_stat_account();
 0)   0.051 us    |      vm_stat_account();
 0) + 16.098 us   |    }
 0)   0.052 us    |    up_write();
 0) + 18.811 us   |  }
 0)               |  __do_page_fault() {
 0)   0.053 us    |    down_read_trylock();
 0)   0.053 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.067 us    |      vmacache_find();
 0)   0.057 us    |      vmacache_update();
 0)   0.743 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.114 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.657 us    |          }
 0)               |          unlock_page() {
 0)   0.063 us    |            page_waitqueue();
 0)   0.117 us    |            __wake_up_bit();
 0)   0.706 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.641 us    |          }
